TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
ATHB7,193,193/1447,2280/22994,9.332349391799682e-6,1.435063218745264,0.0028183695163235037,4.930793972419698e-6,167
At5g05790,218,218/1447,2632/22994,9.857756747474035e-6,1.4058604541887383,0.0029671847809896847,5.177393249723758e-6,168
bZIP50,142,142/1447,1589/22994,1.1686269649484576e-5,1.5114501903129502,0.003505880894845373,6.074045730308092e-6,169
WRKY23,146,146/1447,1643/22994,1.170266144039359e-5,1.502992624175727,0.003505880894845373,6.074045730308092e-6,170
WRKY43,244,244/1447,3008/22994,1.1834482768634438e-5,1.3782999200286161,0.0035266758650530626,6.10654425626132e-6,171
bZIP44,244,244/1447,3010/22994,1.2403138504520925e-5,1.3771567416212134,0.0036837321358427146,6.362759150746028e-6,172
AHL20,337,337/1447,4359/22994,1.2789769332838787e-5,1.3228695289459647,0.003785771722520281,6.5231737501727925e-6,173
WRKY8,260,260/1447,3243/22994,1.3613442360792929e-5,1.3631196220453812,0.004015965496433914,6.90336833711609e-6,174
WRKY75,165,165/1447,1909/22994,1.4539337155595654e-5,1.4614041138780953,0.004274565123745122,7.330758229712095e-6,175
WRKY50,277,277/1447,3495/22994,1.5928929027244915e-5,1.34846618870445,0.00466717620498276,7.94831043323537e-6,176
WUS,175,175/1447,2050/22994,1.5944310729070155e-5,1.4434064164790867,0.00466717620498276,7.94831043323537e-6,177
ZHD5,166,166/1447,1931/22994,1.8412976936242527e-5,1.4523609511997062,0.005358176288446576,9.12738446938658e-6,178
ATHB-6,87,87/1447,880/22994,1.8815989785579437e-5,1.6741542100903133,0.005456637037818036,9.275052473995779e-6,179
TGA4,192,192/1447,2296/22994,2.063215176212376e-5,1.4137297337775532,0.005962691859253767,1.0113799883394e-5,180
HYH,250,250/1447,3120/22994,2.1582079126326342e-5,1.3591398259854854,0.006215638788381986,1.051131360852192e-5,181
WRKY17,290,290/1447,3698/22994,2.1681336203177878e-5,1.3340501591407037,0.006222543490312051,1.051131360852192e-5,182
CCA1,224,224/1447,2756/22994,2.5540317305465265e-5,1.375456040464161,0.007304530749363066,1.2314521362326549e-5,183
NAC043,79,79/1447,786/22994,2.5681309181630148e-5,1.7021805115775364,0.007319173116764592,1.2315205809605249e-5,184
WRKY7,277,277/1447,3525/22994,3.011454741538294e-5,1.333825330145149,0.008552531465968755,1.4336046066360063e-5,185
At5g58900,182,182/1447,2171/22994,3.0220385107887015e-5,1.4146914510875865,0.008552531465968755,1.4336046066360063e-5,186
WRKY30,194,194/1447,2340/22994,3.100598829349792e-5,1.3997057711679282,0.008743688698766414,1.4588806347583439e-5,187
WRKY47,212,212/1447,2594/22994,3.1083883391251114e-5,1.381109996070459,0.008743688698766414,1.4588806347583439e-5,188
RVE5,246,246/1447,3084/22994,3.47059729588438e-5,1.3502789758403564,0.009717672428476265,1.6127816030968004e-5,189
AT2G40260,208,208/1447,2542/22994,3.4728563853351105e-5,1.381906325548553,0.009717672428476265,1.6127816030968004e-5,190
BEE2,132,132/1447,1489/22994,3.5125137882279785e-5,1.4934590016876585,0.009764788331273781,1.616508107405404e-5,191
DOF5.6,366,366/1447,4841/22994,3.5175216417141594e-5,1.2916400781254334,0.009764788331273781,1.616508107405404e-5,192
HHO3,159,159/1447,1862/22994,3.97263085130447e-5,1.4384215044491,0.010964461149600337,1.8161981947445e-5,193
At3g09600,216,216/1447,2665/22994,4.343923180377435e-5,1.3683192084962839,0.011945788746037947,1.9757079352838547e-5,194
MYB101,308,308/1447,3996/22994,4.37870532416031e-5,1.3094457751349697,0.011997652588199249,1.981314626316882e-5,195
PHL11,172,172/1447,2049/22994,4.7611461413645954e-5,1.4136746034935812,0.012997928965925346,2.1433731128592116e-5,196
