TF_id,mean_value,pvalue,TFPeak_number,rank
GSE60141.SRM1.Col-0_leaves_tnt_colamp,0.030597192160295633,4.7618635579331636e-8,4402,207
GSE60141.AT4G16150.Col-0_leaves_tnt_col,0.013498987595720487,5.667086026572667e-8,661,208
GSE60141.WRKY45.Col-0_leaves_tnt_col,0.022479017477667382,1.0107641421581693e-7,1814,209
GSE60141.WRKY33.Col-0_leaves_tnt_col,0.014048278200782215,1.1168162289272373e-7,1676,210
GSE60141.AtbZIP52.Col-0_leaves_tnt_colamp,0.06956161751436285,1.142865475286746e-7,6560,211
GSE60141.AT3G10030.Col-0_leaves_tnt_colamp,0.023621680671905905,1.1452982574193382e-7,1873,212
GSE60141.ASIL2.Col-0_leaves_tnt_col,0.022848502090099136,1.7263643196368578e-7,1406,213
GSE60141.CDF5.Col-0_leaves_tnt_col,0.04104433473572583,1.7668221839842526e-7,3433,214
GSE60141.AT5G61620.Col-0_leaves_tnt_col,0.004029371340408254,1.9609447789663662e-7,1570,215
GSE60141.GT-2.Col-0_leaves_tnt_colamp,0.032117893973344594,2.1204580807016338e-7,4943,216
GSE60141.ERF039.Col-0_leaves_tnt_col,0.022146735468901356,2.3968380731403697e-7,1855,217
GSE60141.MYB3R5.Col-0_leaves_tnt_col,0.006243399181339319,2.870717397635669e-7,419,218
GSE60141.ERF15.Col-0_leaves_tnt_col,0.026618676633497484,3.4163624280760823e-7,2472,219
GSE60141.MYB98.Col-0_leaves_tnt_col,0.018146861424667964,4.308518197834292e-7,1082,220
GSE60141.WRKY24.Col-0_leaves_tnt_col,0.011170822546173853,4.431890719203806e-7,477,221
GSE60141.BZIP28.Col-0_leaves_tnt_col,0.02546593489028838,4.4906741922174184e-7,817,222
GSE60141.ZHD1.Col-0_leaves_tnt_col,0.03273593196107503,4.831412707424966e-7,2241,223
GSE60141.SMB.Col-0_leaves_tnt_col,0.028203365486866028,4.917436558634484e-7,5934,224
GSE60141.ERF017.Col-0_leaves_tnt_col,0.03611123705777891,5.20735323823308e-7,3879,225
GSE60141.JUB1.Col-0_leaves_tnt_col,0.029512150407050457,5.962684937588259e-7,1894,226
GSE60141.KUA1.Col-0_leaves_tnt_col,0.009204380044728372,6.489345724927767e-7,2103,227
GSE60141.ERF027.Col-0_leaves_tnt_colamp,0.055336074898438614,6.718235223031913e-7,9154,228
GSE97288.AT3G11100.Col-0_seedling_3d-air,0.036906186147095565,6.775189008427094e-7,5881,229
GSE60141.CDF3.Col-0_leaves_tnt_col,0.027405706115379118,8.611083799210126e-7,1591,230
GSE60141.LBD16.Col-0_leaves_tnt_colamp,0.027881958368952908,8.823953187538049e-7,3695,231
GSE60141.AtMYB70.Col-0_leaves_tnt_col,0.019311071062993623,8.908410406902542e-7,2815,232
GSE60141.TINY.Col-0_leaves_tnt_col,0.024865150442531028,9.05294010902805e-7,2729,233
GSE60141.TCP22.Col-0_leaves_tnt_col,0.025103997281296656,9.136330510389813e-7,1101,234
GSE97499.GATA22.Col-0_whole-rosette-leaves_3w,0.01884036726336437,1.1509090551344919e-6,1702,235
GSE60141.PHL7.Col-0_leaves_tnt_col,0.030410234239099387,1.1511511578377296e-6,6035,236
GSE60141.LBD13.Col-0_leaves_tnt_colamp,0.02872915950228025,1.2647261930923503e-6,3211,237
GSE104369.SHL.Col-0_seedling_10d,0.04421945758993258,1.7945621415549164e-6,2539,238
GSE60141.TCP21.Col-0_leaves_tnt_col,0.02528452138018339,1.921191555676934e-6,1454,239
GSE60141.AT2G33710.Col-0_leaves_tnt_col,0.02033123852327929,2.5281526360568053e-6,2013,240
GSE60141.MYB58.Col-0_leaves_tnt_col,0.021123163280763704,2.651986733315472e-6,2460,241
GSE97288.AT3G11100.Col-0_seedling_3d-C2H4,0.013994289069125643,2.6653038289347513e-6,4881,242
GSE60141.RAP2-10.Col-0_leaves_tnt_col,0.02692785933362088,3.0054557767697543e-6,2941,243
GSE60141.ERF003.Col-0_leaves_tnt_col,0.017688906637180195,3.519783851349706e-6,2002,244
GSE60141.AT5G05550.Col-0_leaves_tnt_colamp,0.02624528554061551,3.960446071317464e-6,1860,245
GSE60141.ERF038.Col-0_leaves_tnt_col,0.01918366275879837,4.028930766833981e-6,1928,246
GSE60141.ERF15.Col-0_leaves_tnt_colamp,0.06054821558530121,4.225810064484493e-6,10338,247
GSE60141.ERF010.Col-0_leaves_tnt_col,0.01385949656752752,5.7644181993926395e-6,821,248
GSE85651.HSFA1B.Col-0_leaves_5w-wt-NS,0.002830012104207704,8.026880338243635e-6,119,249
GSE60141.AT3G10030.Col-0_leaves_tnt_col,0.011438284611985278,1.0757209377373717e-5,511,250
GSE104368.EBS.Col-0_seedling_10d,0.041732781420401335,1.1713467850035025e-5,3004,251
GSE60141.ATMYB13.Col-0_leaves_tnt_col,0.01235764135053986,1.2725015495769236e-5,1272,252
GSE60141.WRKY25.Col-0_leaves_tnt_col,0.01151602051013579,1.939362934076476e-5,1395,253
GSE60141.EFM.Col-0_leaves_tnt_col,0.021838071582955296,1.9684004844028742e-5,4979,254
GSE60141.NAC029.Col-0_leaves_tnt_col,0.006806916915153324,2.0059535987581154e-5,1052,255
GSE60141.AT5G58900.Col-0_leaves_tnt_colamp,0.06914912326725642,2.3139355659168674e-5,22621,256
GSE69431.TRB1.Col-0_seedling_TRB1_14d,0.002633531886682805,2.3761696634784792e-5,6928,257
GSE60141.DOF2-2.Col-0_leaves_tnt_col,0.012072993704768182,2.5534419248091318e-5,780,258
GSE16940.AMS.Col_cells,-0.0014590222980523024,2.8421647953915086e-5,545,259
GSE48082.MAF1.Col-0_seedling_10d-FLMbeta,0.0033131711795284027,3.150523617610405e-5,290,260
GSE60141.IDD4.Col-0_leaves_tnt_col,0.022305035302708033,5.185211716452895e-5,991,261
GSE60141.AT1G74840.Col-0_leaves_tnt_col,0.005581431470574563,5.749982107710554e-5,2790,262
GSE60141.AT5G23930.Col-0_leaves_tnt_col,0.0184164851785902,6.101959474562654e-5,1585,263
