TF_id,WT_E5_0h_R1,WT_E5_0h_R2,WT_E5_4h_R1,WT_E5_4h_R2,WT_E5_8h_R1,WT_E5_8h_R2,WT_E5_16h_R1,WT_E5_16h_R2,WT_E5_24h_R1,WT_E5_24h_R2,WT_E5_48h_R1,WT_E5_48h_R2,WT_E5_48h_R3,WT_E5_72h_R1,WT_E5_72h_R2,WT_E5_72h_R3
ZHD6,-1.0709586242267903,-0.7827725602592135,1.496146876216362,1.5297913795462077,0.2905865847492116,0.46328179498035416,0.14241509889422754,-1.0245923925400986,-0.8577588417227449,-0.9051524750285039,0.15324492856537705,-0.4277908230703919,-0.469252883812802,0.664437628128644,0.45138873387405687,-0.7398323791085591
BEH4,-0.15324492856537705,-0.6119085104632846,-0.5176523427716081,-0.6577733822383669,0.31863936396437514,0.04018113452744476,0.6511382223610432,0.8577588417227449,1.0066509019659706,0.6119085104632844,-0.07774086355266835,-0.19129995251595547,0.12620121506710114,-0.185847820290922,-0.6445316061066132,-0.2022214693301576
BEH2,1.3760588349369347,1.433519600087623,-0.3073893828206459,-0.35834456671086434,-0.7827725602592135,-1.1400307167488717,-1.4042097133553209,-0.6379530030286188,-0.4336674943479459,-0.8272071528766829,-0.02410452898060304,0.38128544450891133,0.698215019320807,0.3755318588580194,0.1316019471765929,0.691396760526385
BEH3,0.4933081483127475,0.3017790363535785,-0.22963414956312947,-0.03482131726034769,0.23513679086214964,0.29617817270122565,0.20222146933015775,0.4454661650803933,0.6577733822383669,0.2516882351957292,-0.21864951704140353,-0.5299395463003204,-0.3017790363535785,-0.6119085104632846,-0.4993662832382226,-0.3412624906578669
GBF6,-0.2794304183604154,-0.16409276201253223,0.5361131652220904,-0.18040120698026224,0.16952384856926508,0.12620121506710114,-0.698215019320807,-0.6778556096439299,0.19675777725486285,0.0509043874040253,0.20222146933015775,0.2516882351957292,-0.07236970645650206,-0.4277908230703919,-0.38705167999770673,0.5054428012011756
TGA4,-0.6711315147657183,0.07774086355266835,-0.48726806452123755,-1.1713627674492542,-0.0026780248619778808,-0.14782784646163197,1.2852127518908265,1.2038890137412934,0.7827725602592135,1.3489580918851947,0.38128544450891133,0.029462500148076574,-0.4219288887485655,0.0241045289806029,-0.09386842631539723,-0.6846104934522019
TGA3,-0.4044287858153808,0.1316019471765929,0.850046659840097,1.3357716204898045,0.6577733822383669,0.7755170610270775,1.03368798614595,0.16409276201253223,1.0999187570821543,0.10463345561407526,-1.1713627674492542,-0.797408756791946,-0.9462578347633596,-1.0428699107045674,-0.9051524750285039,-0.7900695024470359
bZIP44,2.0932730573572456,2.0932730573572456,1.0901637335027603,0.9717065019881965,-0.2572205162827893,-0.07774086355266835,-1.6224788658312,-1.0521406099073667,-1.4799413890351922,-1.5652625195919887,-1.1929065265336705,-1.226300880644619,-0.4044287858153808,-1.4335196000876227,-0.8577588417227449,0.3242794243706307
AREB3,-0.20769120482982115,-0.7611270308966579,-0.3412624906578669,-0.24616364666135948,0.7119500194518401,0.38128544450891133,0.9890277338786998,0.9631543195066732,0.11002044271115592,-0.16952384856926508,0.4454661650803933,0.06700063638160315,-0.185847820290922,-0.7683021589798121,-0.9462578347633596,0.39862309718566696
bZIP43,0.06163349704763414,0.27943041836041554,-0.8423847084436875,0.797408756791946,0.8047912168496852,0.36406166020042563,0.5547585400265583,0.7611270308966579,-0.6314018942397609,-0.7188680528227157,-0.04554210636070438,-0.4044287858153808,-0.36979067802381926,-0.45138873387405676,-0.7755170610270775,0.6248777720424505
bZIP3,0.7539908752671884,0.6183801395736427,0.7539908752671884,-0.09924950325268884,-0.8655223818729181,-0.7827725602592135,-0.19675777725486301,-0.08311426437365704,-0.7258206630767678,-0.7755170610270775,-0.09386842631539723,0.5423072853998011,0.5485222826980982,-0.15866651137713356,0.15324492856537705,0.0026780248619778808
bZIP53,0.469252883812802,-0.07774086355266835,0.7188680528227157,0.4933081483127475,0.346945213167366,0.3526391619229504,0.013390508459676464,0.46328179498035416,0.8655223818729181,1.0155807829346575,-0.03482131726034769,-0.7050658929000242,-0.08311426437365704,-1.6224788658312,-1.448648041934721,-0.2572205162827893
bZIP50,-0.38705167999770673,-0.02410452898060304,0.7258206630767681,1.2377413925572405,0.7611270308966579,-0.463281794980354,1.0709586242267901,0.6445316061066133,0.4160814172229962,-0.19129995251595547,-0.8423847084436875,-0.6379530030286188,-0.6846104934522019,-0.48726806452123755,-0.6379530030286188,-0.8122178014999129
bZIP52,2.4334121395949024,2.4334121395949024,-1.836800742786681,-2.726022831313744,-1.836800742786681,-2.2004105812100327,2.5528757314924593,2.4334121395949024,-3.0705355970807964,-3.0705355970807964,-0.48726806452123755,1.0155807829346575,-1.322813412009698,0.2572205162827893,0.6379530030286191,1.6637927858850732
bZIP28,-0.11002044271115605,-0.07236970645650206,-0.3928308136497293,-0.4277908230703919,-0.5610164475512408,-0.2241384526491305,0.9462578347633593,0.346945213167366,0.3355907674135362,0.2627606811759701,0.4933081483127475,0.7119500194518401,-0.05626813256524087,0.31863936396437514,-0.4395591808522135,-0.6778556096439299
bZIP48,1.5472836116060342,1.1503493803760079,0.5799240864668217,0.5237860596104457,0.12620121506710114,-0.9051524750285039,-1.0709586242267903,-0.6248777720424508,-1.7561674016602142,-1.2150186604198285,0.21316716115049078,-0.24616364666135948,0.19675777725486285,-0.9978005810486968,-0.2022214693301576,0.8812082251841601
TGA10,-1.0066509019659706,-1.1820660672895331,-0.15866651137713356,0.4102481383343704,0.8122178014999129,0.7398323791085591,0.7683021589798121,0.8047912168496852,-0.26276068117597023,0.6711315147657183,0.664437628128644,-0.04554210636070438,0.517652342771608,-0.5862726494026449,-0.7900695024470359,-0.463281794980354
bZIP68,-0.6119085104632846,-0.542307285399801,-0.5862726494026449,-0.6054624085057514,-0.664437628128644,-0.6379530030286188,0.8812082251841601,0.5990413673436641,0.7755170610270775,0.698215019320807,0.5423072853998011,0.4752407505132448,0.6183801395736427,0.22963414956312947,-0.09924950325268884,0.7398323791085591
TGA9,-0.00803415141280527,-0.6445316061066132,0.9379101272115916,0.7611270308966579,0.850046659840097,0.48726806452123755,0.6379530030286191,1.1298320308408791,0.1912999525159553,0.27943041836041554,-0.7468929114901232,-0.6511382223610432,-0.9296272709001898,-0.9051524750285039,-0.5735988114583386,-0.8971139424431069
bZIP16,-0.469252883812802,-0.8655223818729181,-0.3526391619229506,-0.6183801395736427,0.11541062447747148,-0.3412624906578669,1.0155807829346575,0.698215019320807,-0.14241509889422754,-0.13160194717659277,0.8577588417227449,0.7611270308966579,0.4336674943479457,-0.013390508459676464,-0.19129995251595547,0.15866651137713356
bZIP42,0.7050658929000242,-0.04018113452744464,-0.8272071528766829,-0.554758540026558,0.6711315147657183,0.07236970645650206,0.631401894239761,0.5485222826980982,-1.3100735947277953,-1.5127550899607387,0.8812082251841601,0.0509043874040253,0.27386543638531397,0.3697906780238195,-0.445466165080393,0.3299298191830141
GBF3,-0.02410452898060304,-0.548522282698098,-0.24064656116152083,-0.22963414956312947,0.5237860596104457,0.5054428012011756,0.9214077063693253,0.9132499266836087,-0.05626813256524087,-0.11002044271115605,0.04018113452744476,0.21864951704140353,-0.2961781727012255,-0.2961781727012255,-0.7827725602592135,-0.4219288887485655
TRP1,-0.9051524750285039,-0.3017790363535785,-0.6445316061066132,-0.7468929114901232,-0.48726806452123755,-0.554758540026558,0.48726806452123755,0.45732717854092003,0.691396760526385,0.9051524750285039,0.3928308136497293,0.27386543638531397,0.8971139424431069,0.8122178014999129,0.6445316061066133,0.06163349704763414
AT1G72740,-1.9673289538075787,-3.0705355970807964,-1.602820185481948,-1.5297913795462077,-0.24064656116152083,-0.548522282698098,2.4334121395949024,2.0058543039165473,2.726022831313745,2.726022831313745,2.047609368960877,1.160792003464767,0.5735988114583386,-0.3469452131673661,-1.6427853592807375,0.4812457055488878
AT4G12670,0.2850040675696817,0.16952384856926508,0.7755170610270775,0.11541062447747148,0.0241045289806029,0.1858478202909218,-0.19129995251595547,-0.20769120482982115,0.5485222826980982,0.38705167999770673,-0.2794304183604154,-0.0026780248619778808,-0.7611270308966579,-0.09386842631539723,-0.16409276201253223,-0.873338443181592
TBP3,-1.0901637335027599,-1.3100735947277953,-1.5297913795462077,-1.5472836116060342,-0.9546720080897407,-0.7683021589798121,0.9546720080897412,0.9546720080897412,1.9673289538075784,2.3410271376304492,2.0932730573572456,1.5297913795462077,0.4812457055488878,0.4812457055488878,0.3299298191830141,0.38128544450891133
TRP2,-0.7468929114901232,-0.797408756791946,0.1912999525159553,0.7755170610270775,-0.5862726494026449,0.06163349704763414,0.3130094214656357,0.469252883812802,-0.12080416150268271,-0.3242794243706307,0.7119500194518401,1.1298320308408791,0.3299298191830141,0.24064656116152083,0.24616364666135948,-0.797408756791946
bHLH80,0.5799240864668217,0.2850040675696817,1.866540294772766,2.726022831313745,1.7561674016602142,1.433519600087623,0.29617817270122565,0.04554210636070453,2.4334121395949024,2.047609368960877,-2.1437704762116443,-2.2004105812100327,-1.4187123129661308,-2.5528757314924575,-2.5528757314924575,-2.005854303916548
bHLH130,1.1713627674492542,1.0066509019659706,1.9315197977783911,3.0705355970807977,2.143770476211643,1.836800742786681,0.2516882351957292,0.31863936396437514,1.602820185481948,1.4486480419347214,-2.2004105812100327,-2.3410271376304475,-2.047609368960878,-2.726022831313744,-2.726022831313744,-2.433412139594901
bHLH31,-0.2516882351957292,0.00803415141280527,0.9890277338786998,1.2611218282804824,0.3755318588580194,0.7827725602592135,-1.0245923925400986,-0.16952384856926508,-0.3073893828206459,-0.3755318588580192,-0.8122178014999129,-0.6183801395736427,-0.7755170610270775,-0.4219288887485655,0.11541062447747148,-0.8272071528766829
