TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
GSE60141.TGA9.Col-0_leaves_tnt_col,0.056668970283344854,0.042666666666666665,0.019156914648868643,1,0.02159394565895016,207
GSE60141.WRKY45.Col-0_leaves_tnt_col,0.04077401520387008,0.029,0.019503254279638386,1,0.02187865063420973,208
GSE65876.HAT3.Col-0_whole-plant_10d,0.010366275051831375,0.005333333333333333,0.020349488745502995,1,0.022718727467068732,209
GSE60141.ERF035.Col-0_leaves_tnt_colamp,0.12508638562543192,0.10233333333333333,0.021806151835072913,1,0.02422905759452546,210
GSE60141.WRKY15.Col-0_leaves_tnt_col,0.03731859018659295,0.024666666666666667,0.022265083028816076,1,0.0246217347870004,211
GSE60141.SPL3.Col-0_leaves_tnt_colamp,0.0110573600552868,0.005666666666666667,0.02487241834879373,1,0.02711945925880936,213
GSE60141.GT-3A.Col-0_leaves_tnt_col,0.0110573600552868,0.005666666666666667,0.02487241834879373,1,0.02711945925880936,213
GSE60141.JKD.Col-0_leaves_tnt_col,0.0110573600552868,0.005666666666666667,0.02487241834879373,1,0.02711945925880936,213
GSE60141.ATHB-X.Col-0_leaves_tnt_col,0.008984105044920525,0.004333333333333333,0.0283497915478252,1,0.030767215633298668,215
GSE60141.GBF3.Col-0_leaves_tnt_col,0.07878369039391846,0.06266666666666666,0.028951362931359127,1,0.031162188303729507,216
GSE60141.CDF5.Col-0_leaves_tnt_col,0.06979958534899793,0.05366666666666667,0.028980835122468445,1,0.031162188303729507,217
GSE60141.WRKY33.Col-0_leaves_tnt_col,0.03800967519004837,0.027666666666666666,0.03120814751252344,1,0.03340321599199757,218
GSE60141.TCP20.Col-0_leaves_tnt_col,0.03248099516240498,0.023,0.031568045790644456,1,0.033634143155937775,219
GSE97499.GATA21.Col-0_whole-rosette-leaves_3w,0.2073255010366275,0.178,0.031883088730683615,1,0.03381539713860383,220
GSE60141.MYB58.Col-0_leaves_tnt_col,0.04284727021423635,0.032,0.03271814019918055,1,0.03454403942598248,221
GSE60141.BHLH74.Col-0_leaves_tnt_col,0.006219765031098825,0.0026666666666666666,0.03604171573812115,1,0.03788168320823544,222
GSE60141.WRKY50.Col-0_leaves_tnt_col,0.0165860400829302,0.010666666666666666,0.038717137186410754,1,0.04051120482883039,223
GSE60141.HHO5.Col-0_leaves_tnt_col,0.07601935038009675,0.059333333333333335,0.042017640558911454,1,0.04376837558219943,224
GSE60141.PHL12.Col-0_leaves_tnt_colamp,0.09329647546648238,0.07166666666666667,0.04266033636309785,1,0.044240348820990365,225
GSE60141.RVE6.Col-0_leaves_tnt_col,0.0442294402211472,0.034,0.04307363778859119,1,0.04447130745134783,226
GSE60141.ATMYB119.Col-0_leaves_tnt_col,0.05736005528680028,0.04466666666666667,0.04339013099860301,1,0.04460072202499575,227
GSE60141.AT2G20110.Col-0_leaves_tnt_colamp,0.31928127159640635,0.285,0.046984080237552815,1,0.048047575342578815,228
GSE60141.TGA7.Col-0_leaves_tnt_col,0.02626123013130615,0.018,0.047155263229073784,1,0.048047575342578815,229
GSE60141.WRKY25.Col-0_leaves_tnt_col,0.03178991015894955,0.023333333333333334,0.04871470136790493,1,0.049420711532657174,230
