TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
GSE21301.AP2.Col-0_inflorescence,185,185/1447,1422/22994,5.874007846012668e-22,2.4067429055934695,2.5551934130155106e-19,2.1339390822229597e-21,69
GSE108455.AGL8.Col-0_Inflorescence-meristem_6w,904,904/1447,11602/22994,1.4371324293004756e-21,1.6882716169090501,6.237154743164064e-19,5.146302794447417e-21,70
GSE94486.ARR14.Col-0_seedling_3d-6BA-72h,1111,1111/1447,15128/22994,4.454442207534649e-21,1.7762507464425847,1.928773475862503e-18,1.5726481408760828e-20,71
GSE80564.MYB44.Col-0_seedling_3d-ABA,1130,1130/1447,15519/22994,2.715357832393851e-20,1.773250769959618,1.1730345835941436e-17,9.453468009074888e-20,72
GSE99587.NFYB9.Ws-0_seeds-bent-cotyledon-stage,1036,1036/1447,13897/22994,3.7742044891499925e-20,1.702362175247673,1.626682134823647e-17,1.2959825460460249e-19,73
GSE94926.RGA.Ler_inflorescence-apices,600,600/1447,7030/22994,8.372047688821754e-20,1.665374969967305,3.599980506193354e-17,2.835936874772054e-19,74
GSE79554.AGL8.Col-0xLer_gynoecium-silique-fruit_stage12-16,227,227/1447,1994/22994,2.19623441482408e-19,2.082754344441978,9.421845639595302e-17,7.340303466434257e-19,75
GSE85922.WRKY33.Col-0_seedling_12d,393,393/1447,4158/22994,7.936546184789298e-19,1.760981371653246,3.3968417670898197e-16,2.617667864456821e-18,76
GSE80564.NAC032.Col-0_seedling_3d-ABA,948,948/1447,12531/22994,1.0142962149631244e-18,1.634216498964215,4.331044837892541e-16,3.3019513145119896e-18,77
GSE68193.PIF5.Col-0_seedling_5d,487,487/1447,5519/22994,6.529526221028169e-18,1.6648860691749807,2.7815781701580002e-15,2.0983776573560608e-17,78
GSE80564.BHLH122.Col-0_seedling_3d-EtOH,799,799/1447,10205/22994,8.653032655752648e-18,1.5914911289338372,3.677538878694876e-15,2.7456036106016842e-17,79
GSE80564.HSFA6A.Col-0_seedling_3d-ABA,490,490/1447,5573/22994,9.825273461368587e-18,1.658396357822006,4.165915947620281e-15,3.078585684562157e-17,80
GSE70533.CCA1.Ws-2_seedling_14d-LD,368,368/1447,3900/22994,2.305832409132167e-17,1.739511429248612,9.753671090629066e-15,7.135744739371973e-17,81
GSE46986.SEP3.Ler_inflorescence_4w-2d,289,289/1447,2863/22994,3.4184260001227984e-17,1.8394277879402816,1.442575772051821e-14,1.0449822569481073e-16,82
GSE80564.AT5G04760.Col-0_seedling_3d-EtOH,1093,1093/1447,15126/22994,7.34895971570951e-17,1.6532116436361508,3.093912040313704e-14,2.219444861933153e-16,83
GSE80564.DREB2A.Col-0_seedling_3d-ABA,915,915/1447,12153/22994,1.1729141519883924e-16,1.5777065657012703,4.926239438351248e-14,3.50012477101298e-16,84
GSE80564.BHLH122.Col-0_seedling_3d-ABA,497,497/1447,5772/22994,3.0601795562955514e-16,1.613768164248807,1.282215234087836e-13,9.024529515036292e-16,85
GSE80564.RD26.Col-0_seedling_3d-EtOH,1046,1046/1447,14373/22994,3.501110994128146e-16,1.608857688705339,1.463464395545565e-13,1.020478863404793e-15,86
GSE14600.SEP3.Ler_inflorescence_5-7w,394,394/1447,4356/22994,1.164300999457754e-15,1.66067306230416,4.855135167738834e-13,3.3546143739165937e-15,87
GSE52175.LHY.Ws_seedling_2w-wt,330,330/1447,3493/22994,1.7341633556455639e-15,1.7170739985385794,7.214119559485545e-13,4.888591388550411e-15,88
GSE80564.ZAT6.Col-0_seedling_3d-ABA,1109,1109/1447,15514/22994,1.7357099743922337e-15,1.6267199154155172,7.214119559485545e-13,4.888591388550411e-15,89
GSE49282.APRR7.Col-2_seedling_2w,309,309/1447,3225/22994,2.936970854112908e-15,1.7348103588491064,1.2159059336027439e-12,8.18000771219595e-15,90
GSE84483.BPC1.Col_whole-plant_30h,130,130/1447,1010/22994,3.16822241896248e-15,2.318089746191183,1.3084758590315042e-12,8.727118165054157e-15,91
