TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
PHL7,1.83830335649696,1.5276181147346644,0.006846396717993743,1,0.002877085002114102,257
dof4.5,3.4840689196529273,2.8480521912375796,0.006975090607554655,1,0.002919805370604274,258
KUA1,1.5532324313803916,1.1447362981179996,0.007056524132842629,1,0.00294248882759461,259
HSFB2A,1.8919173512701748,1.4549110161970462,0.007220073771253316,1,0.0029857183096990594,260
TRP1,1.7431438101847894,1.4668711294544894,0.007230321136316946,1,0.0029857183096990594,261
TCP2,1.7400919317208936,1.2322895544868655,0.007243131455010681,1,0.0029857183096990594,262
At1g49010,2.6383799945460207,2.0251122156437225,0.007593752395979166,1,0.0031070154622355574,263
CDF3,3.2884698903463887,2.7413685846988423,0.0075949266854646955,1,0.0031070154622355574,264
MYB77,1.261703851358647,0.9996329031218774,0.0079884098905926,1,0.0032556538422037766,265
BIM3,1.9121961581218292,1.5355743471780987,0.008029025138133448,1,0.0032599049433023023,266
HHO6,1.8777730890535864,1.4522638376985704,0.008418606484751087,1,0.003405279027539766,267
AT5G61620,2.467008339910059,1.9356946415621759,0.008581368194982602,1,0.003458163302455676,268
bZIP43,1.8143544823758537,1.556653532898633,0.008619326429615335,1,0.0034605474141206553,269
NTL9,0.5422387831328783,0.3420136365714275,0.008707416377044348,1,0.0034829665508177396,270
AG,2.9715216614701907,2.4000408582376203,0.008963559526321975,1,0.0035710780685256657,271
HAT22,1.7172227856635072,1.3617354788793534,0.008993826246657231,1,0.0035710780685256657,272
AGL15,4.624682539172688,3.825132218028216,0.009079698685429533,1,0.0035919687107193758,273
DOF1.8,2.165710731203049,1.7303116749663114,0.009302750167005559,1,0.0036667774380897823,274
TGA7,1.2772354561379444,0.9580330488203691,0.009631915140324635,1,0.0037827157642002208,275
bZIP42,1.6509878686313948,1.4189966883300473,0.009827912113584676,1,0.003845704740098352,276
MYB24,0.9042070851493832,0.6817881359519156,0.009899923567333168,1,0.0038481199173933593,277
FAR1,1.3803942838284584,1.1452150658582658,0.009905345713290313,1,0.0038481199173933593,278
GT-2,3.1010955129036186,2.5263760894774436,0.01074855087536054,1,0.004160729371107306,279
RAP2-10,1.6044908483931934,1.3265038147916381,0.011823439336353913,1,0.004560469458307938,280
AT3G24120,1.457805414365144,1.147010411306335,0.012035291733235554,1,0.004625663726652811,281
SPL4,0.4336928044382147,0.30500804153715233,0.012860469078025653,1,0.00492221747048449,282
TGA9,1.633726344100619,1.2868140104719168,0.012898032816176951,1,0.00492221747048449,283
MYB118,1.6114274649872373,1.2055298743340581,0.013805437140223338,1,0.005249954968817326,284
SEP1,2.9563578667526134,2.3033628596166165,0.01399763496597416,1,0.005303137354083759,285
TGA3,1.6074448867588782,1.2968175298665516,0.014043493363592176,1,0.005303137354083759,286
MYB15,0.6991331841151868,0.5184233484406817,0.01531570849329638,1,0.005763402499219544,287
F3A4.140,0.8883392504406264,0.6750419867708054,0.015441678443929891,1,0.00579062941647371,288
RAX3,0.8744252440796398,0.6703366775833747,0.016431279547034036,1,0.00614040896567362,289
WRKY62,1.2601064170423986,0.9508674170680531,0.016514516238889866,1,0.006150233633793468,290
WRKY70,2.3512132621252206,1.8796737009000462,0.01687216848910305,1,0.006261835727914534,291
NAC028,0.8865075037015631,0.676040879130492,0.017627795497410944,1,0.006519869567535554,292
DOF5.7,2.205442661566288,1.8132247336854652,0.017871363557862407,1,0.0065873968063110576,293
SPL7,0.8122180208527889,0.6281907421305108,0.019481956897844318,1,0.007156637227779545,294
DAG2,4.434500773389575,3.894755083556047,0.01971718717843894,1,0.007218495644987816,295
MYB1,1.5733190815849276,1.3072675652496355,0.020061370694931083,1,0.0073196893076099894,296
SPL9,1.2481650245222926,0.9645228052251908,0.020549871640223677,1,0.007472680596444973,297
ERF035,1.4461350619090796,1.2897539263818771,0.0212771813174049,1,0.007711193229126608,298
ANT,1.2198587789316657,0.9899090633216696,0.02147409280979439,1,0.0077565285065478076,299
MYB59,0.6325295743491213,0.45998199394949485,0.021546950194961553,1,0.0077569020701861585,300
HHO2,1.8160039652973903,1.4881129569004825,0.022295476828296273,1,0.007999705971614611,301
AT3G52440,3.1923456186696186,2.71189504991934,0.023064692331729062,1,0.008248300568962712,302
MYB33,1.2420819692402185,0.9970058343000046,0.024096855467824432,1,0.008588978186551284,303
HAT2,1.8920786000772856,1.5221969208774575,0.024339199783712614,1,0.00864682097579264,304
SPL1,0.8713031878424676,0.6373781297194525,0.025011963997147512,1,0.008856695448170266,305
TGA6,1.4401106819944318,1.1819672312004255,0.025156152872254936,1,0.008878642190207625,306
ANAC13,3.6689468527393854,3.21255883421482,0.026302378443940046,1,0.009252953980278584,307
AT4G12670,0.7640638660067093,0.6141448518762771,0.02687282668628147,1,0.009422939227657141,308
DOF2.5,1.988037449033837,1.6329726484004539,0.02829982121782333,1,0.009891199648947961,309
AGL6,5.257391995590455,4.41221374052554,0.028559269376353315,1,0.009949680944019866,310
MYB62,1.5578177005116227,1.2888863135005855,0.02905852360853718,1,0.010091062860842494,311
WRKY46,3.0387158948078676,2.5818046838948856,0.02991844079181312,1,0.010356383351012233,312
BIM2,2.0682794114204386,1.7492071412964776,0.03071033265174899,1,0.010596536506034796,313
SPL5,0.9789180405173179,0.7286734229180223,0.032065538546254886,1,0.011028911347119514,314
